"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"State"	"MaxFC"	"InitialState"
"FOSB"	"FOSB"	0.0664320997677315	1.1704016227703	-0.159546487658397	0.231209074387961	-0.675196329683824	-0.160272176964479	-0.403001227006077	0.419823955805864	-0.184046592498402	0.233216516204411	-0.392531623314433	0.265513163027536	-0.778240304724608	-0.541320058657661	"S01"	1.1704016227703	"IS02"
"SPEN"	"SPEN"	-0.23321906597049	1.16869430244826	-0.112068745474799	-0.130334204625408	-0.178630990885502	-0.12954006347081	-0.284734936750871	-0.19420734182365	-0.251436713688481	0.158660243378544	-0.119908681113015	0.409467181872667	-0.350533384796244	-0.103967142147017	"S01"	1.16869430244826	"IS02"
"JAML"	"JAML"	0.285326393110777	1.1646119385954	-0.330591296072909	0.863661002527782	-0.803679578306995	-0.531249544645195	-0.662189543986187	0.644278892825903	-0.50906822833308	0.946367611539589	0.160171187052803	-0.854170542869169	-0.981638446807011	-0.557345571632212	"S01"	1.1646119385954	"IS02"
"PPP1R10"	"PPP1R10"	-0.302456520628194	1.16337291013388	-0.00784541126610469	-0.0428368667591854	-0.086391732538714	-0.334995775907756	-0.392216051115007	-0.0614064312381531	-0.263088893537539	-0.17107305325869	0.16114319385564	0.457976328390274	-0.283965827374156	-0.225120969138581	"S01"	1.16337291013388	"IS02"
"RLF"	"RLF"	-0.124246056985887	1.15085058404138	0.094328263782846	-0.0593523678359623	-0.217525969178926	-0.161947692492236	-0.294428827263205	-0.181636305801728	-0.285026523509541	0.0503177832170656	-0.131301629833517	0.229875214871526	-0.288796335883672	-0.232645148521793	"S01"	1.15085058404138	"IS02"
"RANBP2"	"RANBP2"	0.0382425190137142	1.14532679793535	-0.062004200725979	0.283001227317869	-0.242728882845377	-0.133388928883692	-0.388229239498508	-0.246480922431863	-0.25264518423318	-0.225796228257964	0.0248342023021632	0.165917097250237	-0.415438976309855	-0.250462805528679	"S01"	1.14532679793535	"IS02"
"SMIM30"	"SMIM30"	-0.241284865006104	1.14501001314687	0.0922700844771195	-0.267714557490247	-0.131091961047027	-0.234112069679746	-0.247174992486636	-0.248692733668572	-0.137379492911235	0.710556269322034	0.987803307040617	-0.245462957906642	-0.253133675341225	-0.168888789767417	"S01"	1.14501001314687	"IS02"
"VPS13C"	"VPS13C"	-0.216702331024357	1.1356460947577	-0.0424606624117834	-0.239051995938065	-0.142092044446697	-0.17180339650391	-0.34868704168187	-0.306956708851397	-0.140831643800098	0.0435529919423183	0.187432312653655	0.659392131992544	-0.277424872612461	-0.114450822169412	"S01"	1.1356460947577	"IS02"
"PRKDC"	"PRKDC"	-0.320736855499261	1.1337740117897	0.0453546943284058	-0.352542197230728	-0.00488685826257525	0.0739120734546891	-0.253240404044757	-0.264779567813963	-0.334075861576151	-0.0557677909775489	0.0734119780131813	0.688167657490062	-0.210395363050994	-0.170407984565324	"S01"	1.1337740117897	"IS02"
"ZBTB1"	"ZBTB1"	0.102634226533165	1.12073682584011	-0.0183072313443355	0.181328460846535	-0.135072118194872	-0.24283162424485	-0.380562755577403	-0.0847239818651865	-0.305229451419311	-0.16698891434136	0.0252190885728561	-0.0755101562927363	-0.28099249507366	-0.334466510964108	"S01"	1.12073682584011	"IS02"
"TSC22D2"	"TSC22D2"	0.0706690193791715	1.11929424212592	-0.294853362498548	0.166898935959789	-0.294887262204721	-0.256526293822801	-0.34122870513995	0.103991844950518	-0.34645318836209	-0.00419608776290502	-0.268904898186196	0.0139709856494112	-0.416252175896662	-0.099816142641657	"S01"	1.11929424212592	"IS02"
"TET2"	"TET2"	0.0450087923997932	1.11156346209576	-0.184144946989426	-0.119475749480366	-0.323454396344424	0.00956204409113465	-0.271972870118819	-0.213234078458943	-0.159675021991475	-0.00790872331488606	-0.205192322191817	0.653539723325221	-0.400226199661606	-0.250585149590208	"S01"	1.11156346209576	"IS02"
"TRIM38"	"TRIM38"	-0.27929674310633	1.10950689429102	0.179933702392745	-0.257325013092768	-0.0635594730038209	-0.352945151545476	-0.226455618602577	-0.372605540512079	-0.191430320359278	0.130926513167869	0.12333142948425	0.300284456774097	-0.155404089161915	-0.0491490109144778	"S01"	1.10950689429102	"IS02"
"TFDP2"	"TFDP2"	-0.112299983072651	1.10082703667149	0.224727375640789	-0.0211427360217136	-0.0534211483706753	-0.173938238502515	-0.137515807995553	-0.0267564805671536	-0.26335534821793	-0.122890585965506	-0.269949911247221	-0.213164943389601	-0.243258007706015	-0.319660114255732	"S01"	1.10082703667149	"IS02"
"PTPRC"	"PTPRC"	-0.446377666785414	1.09428826511884	-0.229488356015387	-0.560754032033128	0.223846909084896	0.0940677688801283	-0.679629711882718	-0.434957413372221	-0.207349589228711	0.49969948760737	0.411016381861114	0.887089240347675	-0.0605154643811897	0.0540501526897019	"S01"	1.09428826511884	"IS02"
"PLPBP"	"PLPBP"	-0.220074342861267	1.09420831523034	0.0487604060291846	-0.268431014527786	-0.196631069940373	-0.234738599822399	-0.247836481591042	-0.24935828454818	-0.163986285658787	0.986854674210053	0.0619615539577112	-0.246119865268333	-0.253811111057969	-0.0941148375841689	"S01"	1.09420831523034	"IS02"
