"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"LAT"	"LAT"	-0.173640218234699	-0.187251962209311	0.194984447583035	0.0889780392184721	0.0397419663832224	0.0193374736243569	"S01"	0.194984447583035	"IS03"
"GIMAP4"	"GIMAP4"	-0.356744530953475	-0.0856899303388147	0.194892353738606	0.131936045169148	0.0889275235200104	0.106858734114171	"S01"	0.194892353738606	"IS03"
"CD53"	"CD53"	-0.323003202388114	0.0222727291130724	0.190013251789072	0.0533873595991115	0.0592640882458716	0.0759655691603479	"S01"	0.190013251789072	"IS03"
"WIPF1"	"WIPF1"	-0.267266524453864	0.0414940737347375	0.182053018020701	-0.0743100830113998	0.04013807395063	0.1046015137054	"S01"	0.182053018020701	"IS03"
"S1PR4"	"S1PR4"	-0.224378159653715	-0.148230578340269	0.179138556311603	0.0206483258772869	0.147492322704335	-0.00300474547247985	"S01"	0.179138556311603	"IS03"
"PSTPIP1"	"PSTPIP1"	-0.261037911897112	-0.0303231988618552	0.177964195520199	0.0783303371473365	0.0899550063160093	-0.00806198260680809	"S01"	0.177964195520199	"IS03"
"PGK1"	"PGK1"	-0.416896493663159	0.0156653341637971	0.177126225111817	0.172641464897691	0.163636403232113	0.0202800391027041	"S01"	0.177126225111817	"IS03"
"TBCD"	"TBCD"	-0.250695966976859	0.0178630403331707	0.171218247005624	-0.155776147388071	0.151134030636299	0.0350694134868471	"S01"	0.171218247005624	"IS03"
"GYPC"	"GYPC"	-0.176983727065723	-0.104240401370536	0.170250516193699	0.140108765944069	-0.0747392602988046	0.0969410516697197	"S01"	0.170250516193699	"IS03"
"TSC22D3"	"TSC22D3"	-0.113237388451095	0.131911875676265	0.14705908205143	0.0394212463919111	-0.0504605563687546	-0.0954547747115942	"S01"	0.14705908205143	"IS03"
"RHOF"	"RHOF"	-0.126382969511841	-0.194100710202542	0.145013199649587	-0.0312522957452158	0.0443174786642941	0.0987025983266376	"S01"	0.145013199649587	"IS03"
"DOK2"	"DOK2"	-0.311355428469854	0.137292378654285	0.138579564685835	-0.0698369856739012	0.136184703349223	0.0316745629038055	"S01"	0.138579564685835	"IS03"
"ZFYVE28"	"ZFYVE28"	-0.239556927320271	-0.0367345218436738	0.120498682212976	-0.0163431161026732	0.0861971481436332	0.108460634162042	"S01"	0.120498682212976	"IS03"
"TBCC"	"TBCC"	-0.118603153419426	0.011668128321978	0.117198666896722	0.0775849193728741	-0.114748157886443	0.0894265866542475	"S01"	0.117198666896722	"IS03"
"NWD2"	"NWD2"	-0.0260824204486176	-0.0224215246636771	0.0946969696969697	-0.0221631205673759	-0.0248385494287134	-0.0236742424242424	"S01"	0.0946969696969697	"IS03"
"CATSPERD"	"CATSPERD"	-0.0260824204486176	-0.0224215246636771	0.0946969696969697	-0.0221631205673759	-0.0248385494287134	-0.0236742424242424	"S01"	0.0946969696969697	"IS03"
"CXCL13"	"CXCL13"	-0.104361093289889	-0.380329947902857	-0.146887492170704	-0.411256551360642	1.1687144312969	-0.513476850918666	"S02"	1.1687144312969	"IS05"
"HAVCR2"	"HAVCR2"	-0.281755559535336	-0.325749699118143	-0.15659093455741	-0.199744061971814	0.944771823505417	-0.173487286903298	"S02"	0.944771823505417	"IS05"
"GZMB"	"GZMB"	-0.120677689526998	-0.708754174214978	0.336243376925791	-0.469308450530532	0.776417969861719	-0.355479220707443	"S02"	0.776417969861719	"IS05"
"RBPJ"	"RBPJ"	-0.166827332754819	-0.215312623300819	-0.114335376612167	-0.263878541571843	0.746968104871142	-0.185348249981873	"S02"	0.746968104871142	"IS05"
"CCL3"	"CCL3"	-0.115846541887506	-0.340345089403645	0.218016162011839	-0.482145361093757	0.736491584584933	-0.426149342793957	"S02"	0.736491584584933	"IS05"
"TNFSF4"	"TNFSF4"	-0.21650129526913	-0.194232178619295	-0.0460898429028834	-0.193180032813733	0.712859098101562	-0.226489662894103	"S02"	0.712859098101562	"IS05"
"PRF1"	"PRF1"	-0.457155311906273	-0.23647615445939	0.0226758204817095	-0.0894553788439481	0.669004606721638	0.0281768409092397	"S02"	0.669004606721638	"IS05"
"PDCD1"	"PDCD1"	-0.309533126409671	-0.196921857054431	0.0152735498037389	-0.108968881402285	0.653555192839217	-0.161223734744969	"S02"	0.653555192839217	"IS05"
"CD27"	"CD27"	-0.246477664991434	-0.234350623978233	0.276319443163459	-0.107019990649068	0.616013126347463	-0.507807224572808	"S02"	0.616013126347463	"IS05"
"CTSD"	"CTSD"	-0.282256642552642	-0.644993275134712	0.18465395211938	-0.418409264395333	0.615016211558666	0.169549932773903	"S02"	0.615016211558666	"IS05"
"NKG7"	"NKG7"	-0.342074525103031	-0.585857160230928	0.499923718397427	-0.0913604726224627	0.584277828128283	-0.375825843547556	"S02"	0.584277828128283	"IS05"
"LAG3"	"LAG3"	-0.310140126351442	-0.226635592678911	0.238921049442608	-0.227202619407064	0.568174062150132	-0.241168404581957	"S02"	0.568174062150132	"IS05"
"GNLY"	"GNLY"	-0.0472038802039888	-0.321510261943226	-0.0881258644751541	-0.268268380526423	0.567537840676767	-0.0861643437724058	"S02"	0.567537840676767	"IS05"
"APOBEC3G"	"APOBEC3G"	-0.483931724379652	-0.308987208718571	0.344349976979042	-0.127278721834932	0.561556267453244	-0.136801428920715	"S02"	0.561556267453244	"IS05"
"TIGIT"	"TIGIT"	-0.332022228680227	-0.000934174228582994	-0.114276523943081	-0.129753831066585	0.535332585576626	0.0454476999226365	"S02"	0.535332585576626	"IS05"
"VCAM1"	"VCAM1"	-0.182203120281983	-0.0431383284772102	-0.0443391891528365	-0.103399281284316	0.530715141954093	-0.228915831531592	"S02"	0.530715141954093	"IS05"
"ENTPD1"	"ENTPD1"	-0.0858754756153639	-0.368912726247182	-0.42416196923917	-0.0977241403600958	0.517678492632345	0.373466427060321	"S02"	0.517678492632345	"IS05"
"APOBEC3C"	"APOBEC3C"	-0.254941938043315	-0.326114555069759	0.191496105534436	-0.161154826886904	0.478777624974472	-0.120518903193693	"S02"	0.478777624974472	"IS05"
