"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"State"	"MaxFC"	"InitialState"
"CRBN"	"CRBN"	0.500519538336619	0.0462239411463875	0.00103813280447044	0.106052439470693	-0.328871925720404	0.171174805279207	-0.101723460117289	0.126436350925223	0.153366534700848	0.228823679661886	-0.238964716673089	"S01"	0.500519538336619	"IS01"
"ZNF439"	"ZNF439"	0.490010306855756	0.0750344792449049	-0.0697892995678673	0.034430238957714	-0.221225071432081	0.154077799760239	-0.197774680028853	-0.0523064369711745	-0.00171497015679276	0.232550569876993	-0.015765870727032	"S01"	0.490010306855756	"IS01"
"TFB1M"	"TFB1M"	0.481591571974584	0.313303551609021	-0.0878009216114329	0.127012380861868	-0.0226782244862606	0.126335190066866	-0.0507917938761967	-0.12844596001213	-0.102101656511965	0.173980872610561	-0.117477526447734	"S01"	0.481591571974584	"IS01"
"SLC38A11"	"SLC38A11"	0.473911972610212	-0.119430447263359	-0.0671390304378182	-0.0517585199513868	0.0755973957900304	0.0140606044450064	-0.0761332865576932	0.019384656363282	0.0324110220019956	-0.104767197875524	-0.0166909577618966	"S01"	0.473911972610212	"IS01"
"DUSP1"	"DUSP1"	0.470924747576452	-0.139875650227325	-0.987887122585219	-0.168514191669144	-0.0401695263063821	0.391951822068922	-0.109438537841558	0.171021540422194	0.219641549998521	0.279524266125831	0.00527662094271665	"S01"	0.470924747576452	"IS01"
"SCCPDH"	"SCCPDH"	0.45308999523622	0.363167216669302	-0.0897844968660165	0.127519545050474	0.128442216400194	-0.0286590380355225	-0.12540167476423	-0.163362624642421	0.00505411090280116	0.219264789654417	-0.223217145362493	"S01"	0.45308999523622	"IS01"
"JAKMIP2"	"JAKMIP2"	0.450874773148933	-0.116822501191276	-0.0639602727498126	0.196517533689199	0.218963924481356	0.216321624219169	-0.108600964265025	-0.0642599184339516	-0.145415633991012	0.0199497529787028	-0.139870608178758	"S01"	0.450874773148933	"IS01"
"PRDX6"	"PRDX6"	0.450011204487168	0.227528101076228	0.154243240013325	-0.0885679970872495	0.212996554047705	0.135553100634905	-0.524808134951298	-0.0952122708133366	0.076599211240051	0.307262223446585	-0.411314169829189	"S01"	0.450011204487168	"IS01"
"TVP23C-CDRT4"	"TVP23C-CDRT4"	0.448657142852261	-0.0324019037730328	-0.0345745003404076	-0.0321344509973578	0.0937873825885433	-0.0342099186144982	0.0183862936314255	-0.0334601524566385	-0.0370241439689005	-0.0343760594996017	-0.0386410792886342	"S01"	0.448657142852261	"IS01"
"BBS4"	"BBS4"	0.447419939667096	-0.00470328626701086	-0.0449295929048614	-0.104234062463938	0.211202155516274	-0.0686244701243197	-0.165387940425471	0.32065248702185	-0.126641310483341	0.060260104172391	-0.138873220137721	"S01"	0.447419939667096	"IS01"
"KRT79"	"KRT79"	0.436954235206488	0.173735249170565	0.133570981808472	-0.0771549734379213	-0.0859129138970971	0.0447405500491626	-0.0802001289747247	-0.0803379891018836	0.000121725546810753	-0.0428714431558313	-0.0528433233638544	"S01"	0.436954235206488	"IS01"
"GPAT3"	"GPAT3"	0.427460722333547	-0.1546727536726	-0.120102436105204	0.0646782000060661	0.00634791983635449	-0.0643374009532206	0.0425047498688072	0.216972003177333	0.0243243803977184	0.076450263790355	-0.12220034104974	"S01"	0.427460722333547	"IS01"
"ACVR1"	"ACVR1"	0.423991573434954	-0.120314954950657	-0.0409093090587859	-0.00538967846971771	0.0805942184353817	0.149844204374524	-0.0969490954434772	0.0324981285941397	-0.155616076155923	0.12810819582288	-0.0691675518600821	"S01"	0.423991573434954	"IS01"
"DAD1"	"DAD1"	0.417145796662008	0.305314249503596	0.232155018602561	-0.140197016812299	0.205018679838101	-0.0968071897573526	-0.45100507440224	-0.0558227260223712	0.164064172124719	0.113372280711926	-0.346858147552626	"S01"	0.417145796662008	"IS01"
"HYI"	"HYI"	0.412790073449526	-0.0194922971249995	0.117411952830353	-0.222676014332688	0.0236673759738074	-0.0858927040523079	-0.141721251346032	-0.130794260528191	0.143912978776813	0.110341277421507	-0.137086346860326	"S01"	0.412790073449526	"IS01"
"FHL1"	"FHL1"	0.392120394467553	0.0271887375161814	-0.0478421535158203	-0.127850637370632	0.10549538540584	0.0861964431542423	-0.0731133845341664	-0.0624550271641732	-0.0891876795686168	0.316096868433754	-0.185776506979501	"S01"	0.392120394467553	"IS01"
"MRPL16"	"MRPL16"	0.39175700994596	0.12789348772965	-0.146142157352585	0.125041151346899	0.149517063354343	0.189615762238108	-0.211834687327158	-0.22583630784323	-0.0530183817057637	0.261208360581045	-0.165327965143145	"S01"	0.39175700994596	"IS01"
"ASAH1"	"ASAH1"	0.38757960189996	-0.0856802045052131	0.327511216146327	0.220156909095444	-0.229784036336599	0.0566117645572104	-0.489779671980906	-0.0941694102977521	0.284464525497721	0.328213923902408	-0.326480705353044	"S01"	0.38757960189996	"IS01"
"SCIN"	"SCIN"	0.37555568678803	-0.229759306728346	-0.160388124833854	0.10302335903373	0.158768147089085	0.165800341418215	-0.192591637699221	0.202399121938233	-0.122068734578614	0.272849435689792	-0.1905809820426	"S01"	0.37555568678803	"IS01"
"BEX5"	"BEX5"	0.375057718391181	-0.152860199937506	-0.0337636359572007	0.330647049390986	0.117981963810012	-0.0280982938918334	-0.0750686998053977	-0.0802144278070823	0.100771821854829	-0.0358620860825282	-0.147266094994861	"S01"	0.375057718391181	"IS01"
"SAMD13"	"SAMD13"	0.374390966820713	0.00352491675783538	-0.0765359148807545	0.146035950070373	-0.182864565060436	0.203336643868698	-0.119065010811684	0.123671525424748	-0.0489244279339148	0.00821865412391311	0.00916628279852457	"S01"	0.374390966820713	"IS01"
"SLC46A3"	"SLC46A3"	0.3713917065682	-0.0717694363762136	-0.118815679229736	0.180783170007301	0.000242736069053125	0.106604401310929	-0.204070274868777	0.138821069080237	0.0630274204987941	0.0632991775135452	-0.134066825948847	"S01"	0.3713917065682	"IS01"
"SYPL1"	"SYPL1"	0.36627619703396	0.226795786042434	0.178044316460013	-0.147500393319453	0.152530231184702	0.0618671821890159	-0.349937915709804	-0.0859320156548349	0.00591263180947287	0.242721189960857	-0.29542469451783	"S01"	0.36627619703396	"IS01"
"PCMT1"	"PCMT1"	0.360296322767108	0.224524340876023	0.161074984623329	0.111199864280664	0.00312897096721499	0.266562195484063	-0.339745613479926	-0.290056676438837	0.151491285308418	0.337707918132722	-0.428648942030625	"S01"	0.360296322767108	"IS01"
"RGS17"	"RGS17"	0.359466564428396	0.000475071857552531	-0.166765883886378	-0.118088058511826	0.25960635104857	0.0147836030363393	-0.070267297497021	-0.0462494134202633	-0.0928635856729907	0.220555772709734	-0.134113209821014	"S01"	0.359466564428396	"IS01"
"PTMA"	"PTMA"	0.354927334735099	0.144801057171308	0.213988200986322	-0.0239556045785437	-0.454769859605992	0.237116217120397	-1.48495287118445	-0.0493770453919964	0.287676153399213	0.270579819717232	0.215281541348806	"S01"	0.354927334735099	"IS01"
"IL5RA"	"IL5RA"	0.347328995441302	-0.144602443666669	-0.0421337117451105	0.216301480824319	-0.0886369163242596	0.25170058390608	-0.0207418239161572	0.154508738016135	-0.0270779040475315	0.0271610263877653	-0.158328170739563	"S01"	0.347328995441302	"IS01"
"PSD2"	"PSD2"	0.345687702376837	-0.0359849169794224	0.0962075109552014	-0.0356878891875988	-0.0397388582268162	-0.0379928626983972	-0.037096420206586	-0.0371601871515049	0.0490089680115436	-0.0381773754973739	-0.0429140225814154	"S01"	0.345687702376837	"IS01"
