"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"State"	"MaxFC"	"InitialState"
"ETV7"	"ETV7"	-0.178025526608385	-0.028551448111716	0.0197574381065119	0.00895279094046956	-0.0692986390790707	-0.0304769694329532	-0.0791048185256059	-0.134854095997131	0.843171992930667	"S02"	0.843171992930667	"IS09"
"DDX60L"	"DDX60L"	-0.166183340686533	0.0223300315033738	-0.219884881684809	-0.255653936810524	-0.168763397201916	0.23837218040025	0.104645966037593	0.431844512447477	0.816184503465727	"S02"	0.816184503465727	"IS09"
"PRR5"	"PRR5"	-0.201487325231097	0.0544160393734933	-0.274322929894624	0.0559826159991768	-0.127106629556835	0.273382133259095	0.0481860907748527	-0.376844332543961	0.813555640945431	"S02"	0.813555640945431	"IS09"
"SAMD9L"	"SAMD9L"	0.17541148367089	0.065024665120186	0.0222277385535047	-0.277779687747273	-0.35410808756581	0.0369782407237917	0.246067506847132	0.282351344008463	0.807813446726644	"S02"	0.807813446726644	"IS09"
"RBCK1"	"RBCK1"	0.207579258496311	-0.1946106216991	-0.0241985365882263	-0.0274627290228319	-0.328142261379662	0.0642610660832969	0.424345743094474	-0.396986617336275	0.791551298686683	"S02"	0.791551298686683	"IS09"
"ISG15"	"ISG15"	-0.12609778961037	-0.658344420691986	0.100231760821364	0.359167575684644	-0.341040900562594	0.0348758475583791	0.117926702848403	-0.203131448764096	0.785284346875763	"S02"	0.785284346875763	"IS09"
"SAT1"	"SAT1"	-0.208399189218863	-0.367992332921547	-0.459014948313006	0.504270517779634	-0.0527805580050652	0.120083211318598	-0.119279473371081	-0.249893943714721	0.763534561783989	"S02"	0.763534561783989	"IS09"
"PNPT1"	"PNPT1"	0.0180989593258616	-0.229450520582668	0.0562761768445596	-0.16019075554965	-0.183905748164183	0.223036523190129	-0.0826575599256901	0.0481473328849355	0.745386561806145	"S02"	0.745386561806145	"IS09"
"IFI35"	"IFI35"	-0.0607665967276203	-0.375990296199821	0.207786470838955	-0.0138039043848045	-0.31549764890236	-0.00310394666179452	0.354794334892856	-0.142803358574324	0.744146084170138	"S02"	0.744146084170138	"IS09"
"GPR155"	"GPR155"	0.0487366285768804	-0.037104006271675	-0.347961562138228	-0.266163948199585	-0.197564268619769	0.336033388672219	0.144764884136633	0.403004777612775	0.740783898354164	"S02"	0.740783898354164	"IS09"
"SAMD9"	"SAMD9"	0.0849894541522467	-0.0487558719322351	-0.205635447358855	-0.275233607753668	-0.435253668749909	0.208286776402632	0.428866700259058	0.644280908845255	0.732615815636986	"S02"	0.732615815636986	"IS09"
"GBP5"	"GBP5"	-0.0447268396207064	0.144892117949813	-0.0927646554637581	-0.147386969849171	-0.250862831321554	0.145681079922055	0.206666862674777	-0.0492597252889222	0.730361366666042	"S02"	0.730361366666042	"IS09"
"PPM1K"	"PPM1K"	0.121597586976743	0.0693976474110901	-0.181115353128999	-0.158065535069648	-0.266825990930137	0.0801370296946852	0.146497377246649	0.346191746304478	0.71150205805007	"S02"	0.71150205805007	"IS09"
"DHX58"	"DHX58"	-0.0847014310372846	0.191869132629918	-0.0817984617608961	-0.0933410593043131	-0.18236097504645	-0.0253343521099975	0.298320754700455	-0.136814681011523	0.71115113313675	"S02"	0.71115113313675	"IS09"
"ZBP1"	"ZBP1"	-0.06444240748925	-0.0123923112352226	0.210740269373422	-0.0574770338850184	-0.188680882102882	-0.183035272775418	0.243326210628673	-0.194368719222965	0.703956899814405	"S02"	0.703956899814405	"IS09"
"USP18"	"USP18"	-0.0861591958966555	-0.262633754059066	0.327077923557687	0.0810933705765364	-0.317575659082891	-0.0565730292076642	0.248407984487581	-0.428336702144482	0.696562018581945	"S02"	0.696562018581945	"IS09"
"MX1"	"MX1"	0.0200148431482248	0.243459699188377	0.168043908075016	-0.199247553385447	-0.501453838675626	0.0186994411223365	0.307574609206336	0.207571738174789	0.695249907603759	"S02"	0.695249907603759	"IS09"
"OASL"	"OASL"	0.0994853058607436	-0.0433579507566711	-0.147698205720775	0.363573685705575	-0.365510764801071	-0.229752253372089	0.276156491522635	-0.133406968190264	0.693603215597224	"S02"	0.693603215597224	"IS09"
"L3MBTL3"	"L3MBTL3"	-0.122613868328675	0.10324417303771	-0.154056682596496	-0.255916441432095	-0.067999691247126	0.160380528676939	-0.01138194026725	0.309554721088028	0.692094310660828	"S02"	0.692094310660828	"IS09"
"CMPK2"	"CMPK2"	-0.12640372078915	-0.166890291754039	-0.0935078385325842	0.0877435492716973	-0.0977608624531337	0.0850394822124867	0.27920831394126	-0.564554958200937	0.679734620452857	"S02"	0.679734620452857	"IS09"
"OAS2"	"OAS2"	0.09441972088219	0.489058771633955	-0.130095079820676	-0.339666718910811	-0.257684966756365	0.121587798265876	0.217193922766717	0.0787937770467893	0.678028961769756	"S02"	0.678028961769756	"IS09"
"OAS3"	"OAS3"	0.0321895756490992	0.189153389550881	-0.0289878823432648	-0.234195116149806	-0.217128210122743	0.175034970602054	0.163657904119665	-0.154287676490576	0.672272915004062	"S02"	0.672272915004062	"IS09"
"STAT1"	"STAT1"	0.147897229228483	0.264112656915189	-0.175466831319982	-0.242355652098083	-0.333886423863101	0.371191100876677	0.0253288672996693	0.0356617642395405	0.670074615702569	"S02"	0.670074615702569	"IS09"
