"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"IS17"	"State"	"MaxFC"	"InitialState"
"IGSF11"	"IGSF11"	2.47883639525341	-0.0616817600428198	-0.0611704365520635	-0.0642541890821858	-0.0611171057442587	-0.0612506075042942	-0.0572255675825835	-0.0588839313638511	-0.0588098324569335	0.0472102063970601	0.199483873191106	-0.0583205659639474	0.00714677344362859	-0.0569004223122279	-0.0594330820590629	-0.0606412805265266	-0.0570857657073817	"S01"	2.47883639525341	"IS01"
"TMOD2"	"TMOD2"	2.44754728918018	-0.00921548685552214	-0.0149695937063224	0.031933823569974	-0.132735704477623	-0.201166757567898	-0.150321415235016	0.148264065274752	-0.0333723768945182	0.0398086612504461	-0.124165051576741	-0.0358850487963394	0.0308733932488881	0.0730443679999906	0.0463907318617949	-0.18442014081151	-0.198930956721165	"S01"	2.44754728918018	"IS01"
"CLU"	"CLU"	2.44683210033253	1.38869585596167	-0.122148343610563	-0.608574484257191	-0.295966873523114	-0.147962404158328	-0.27898614761964	-0.349204700885707	-0.436056314832114	0.135289945331014	0.858920297411618	0.792121557490489	0.0115560815616881	-0.50082593193681	-0.495164314323781	-0.37467390143577	-0.132852638690307	"S01"	2.44683210033253	"IS01"
"LRRTM1"	"LRRTM1"	2.41357411320654	-0.0530000554395195	-0.0525607007042006	-0.0552104152218276	0.0502266942466974	-0.0526295875989636	-0.0491710718424603	-0.0505960210054716	-0.0505323515159512	-0.0522869470546996	-0.049657512784018	-0.0501119492570831	0.0222874959288	-0.0488916907524463	-0.0510678787681339	-0.0521060233624688	-0.0490509470741155	"S01"	2.41357411320654	"IS01"
"GFAP"	"GFAP"	2.25819847063972	-0.0504562519404144	-0.050037984581397	-0.0525605227591943	-0.0499943594858596	0.102208730671148	-0.0468110451675763	-0.0481676021253935	-0.0481069885321149	-0.0497773700783689	-0.0472741387718722	-0.0477067640018976	-0.0506344638677977	-0.0465450733200332	-0.0486168124885807	-0.0166735907488708	-0.0466966859367109	"S01"	2.25819847063972	"IS01"
"CDH2"	"CDH2"	2.25300167227785	-0.253775862545984	0.820172427304469	-0.289269371580375	-0.216819022564832	0.00124822317661124	0.16833021804151	0.215886168703066	-0.0868216384729219	-0.273952156592178	0.10552311269297	0.997471551551664	-0.236485146078834	0.226993062234533	-0.267564971932335	-0.258985247181252	-0.256997462861717	"S01"	2.25300167227785	"IS01"
"ALDH1A1"	"ALDH1A1"	2.25082112257936	1.2001815711266	-0.242090513938371	-0.461073318725917	-0.349711884611554	-0.421196921565837	-0.257914758985588	0.257222437483359	-0.0847845587305909	-0.332882046794292	0.140333493600601	0.521490385757594	-0.0811278305971914	-0.316276849802008	0.411934585255338	-0.190438544372262	-0.0507315652211211	"S01"	2.25082112257936	"IS01"
"CRYAB"	"CRYAB"	2.21404197943987	-0.0711627816637498	-0.063974690908184	0.113249324230251	-0.48548875077484	-0.222003433985014	0.384106085023779	0.0833060666934033	-0.107323309093171	0.859086612228009	1.22524288073654	0.195871505139	-0.314333611690954	0.0736763114487158	-0.60096425216243	-0.460218153187705	0.00815022068950119	"S01"	2.21404197943987	"IS01"
"TMEM59L"	"TMEM59L"	2.06968967121888	0.279585494010617	-0.0223274938543801	-0.133421880153732	-0.117698442378146	-0.0918213400080096	0.0200072872597954	-0.0767692008161189	-0.154937612086153	-0.117537076709579	-0.0701955509851403	-0.124303498782477	0.0792966100410702	-0.0825414673644869	0.136709982676897	-0.062626888495512	-0.150395467106428	"S01"	2.06968967121888	"IS01"
"GPR17"	"GPR17"	2.00464479964491	-0.0308678257754385	-0.0306119406577538	-0.0321551640639651	-0.0305852519562213	-0.03065206115665	-0.0286377828520701	-0.0294676892009961	-0.0294306073773371	-0.030452503466828	-0.0289210915035333	-0.0291857603941646	-0.030976851208641	-0.0284750681767743	-0.0297425044457701	-0.0303471314825137	-0.0285678208418452	"S01"	2.00464479964491	"IS01"
"CMTM5"	"CMTM5"	2.00392610942932	-0.0407842920221447	-0.0879261709958273	0.0226791841272124	-0.0878495134797019	-0.0880414084414313	-0.082255830172423	-0.0846395564562941	-0.0845330469473306	0.324526542238237	-0.0830695729276324	-0.0838297770060051	-0.0889742975374994	-0.0817884675009887	-0.0854289037399051	-0.0871655639802925	0.226090540994883	"S01"	2.00392610942932	"IS01"
"INKA2"	"INKA2"	1.99831355082998	-0.0307703362424326	-0.0305152592840529	-0.0320536087438356	-0.0304886548731688	-0.0305552530707948	-0.0285473364404283	-0.0293746217047666	-0.0293376569962455	-0.0303563256419485	-0.028829750321125	-0.0290935833107526	-0.0308790173417436	-0.0283851356651986	-0.0296485690034121	-0.030251286452876	-0.0284775953904924	"S01"	1.99831355082998	"IS01"
"SEMA3C"	"SEMA3C"	1.95757123738527	0.727167879738494	0.181748006976911	-0.426314395499563	-0.374228605039207	-0.181306764927963	-0.289779396176846	-0.00496759530992456	0.0706417371964836	-0.405548769977645	0.280589159893101	0.636415967900387	0.386863781145613	-0.237881702321959	-0.33017224681649	-0.272850951818728	-0.218814679361971	"S01"	1.95757123738527	"IS01"
"LRAT"	"LRAT"	1.83076867845716	-0.0259178373031202	-0.0632452949388878	-0.0664336461961186	-0.0631901551874153	0.0148781392044332	-0.0591666187754819	0.0335633960366916	-0.0608046208053401	-0.0629158923610811	0.400228107019248	0.0815241331987273	-0.0639992123620003	-0.0588304448051667	-0.0614490105976815	-0.0626981903113887	-0.0590220749185386	"S01"	1.83076867845716	"IS01"
"TENM3"	"TENM3"	1.71080727982305	0.0609072630519831	0.701350789612686	-0.309364913352745	-0.263470605784179	0.17971284080406	0.0372452238939765	0.252745905611162	-0.0252951236238027	-0.312312814944789	-0.0933043310242518	0.434482119954204	-0.105454788991483	0.293461767694636	-0.305031252917674	-0.266385016754039	-0.234457325344211	"S01"	1.71080727982305	"IS01"
"FXYD1"	"FXYD1"	1.70569976999312	0.998000188111778	-0.426711759544649	-0.0836126267923518	-0.311447507003729	-0.477679119212685	-0.340466158202176	-0.118654227012167	-0.253185537584718	1.07194234034209	-0.0112926958779859	0.0442606595988734	-0.578682434165436	-0.246651324492115	0.46338590848113	-0.409455473744925	-0.147526936574309	"S01"	1.70569976999312	"IS01"
"SLITRK2"	"SLITRK2"	1.64793692954385	0.024871391120317	-0.05443151997354	0.0870255998253841	-0.0543840644199449	-0.0545028587939509	-0.0509212423589199	-0.0523969104491196	-0.0523309747396618	-0.0541480224736778	-0.0514249974358424	0.0527038165772607	-0.055080372529516	-0.0506319171182442	-0.0528855632807773	-0.0539606590741149	-0.0507968419297043	"S01"	1.64793692954385	"IS01"
"NIM1K"	"NIM1K"	1.63957321717716	0.0838467781426466	-0.0652704762906693	-0.0274359710800952	-0.10598493021868	-0.0155021946811625	0.0549015035389352	0.066767687533252	-0.0302518757891038	0.0580085805614515	0.0309205112714094	-0.101135370183715	-0.00607683704240037	-0.0986726582474233	-0.103064616329653	-0.105159788028396	-0.0989940675576755	"S01"	1.63957321717716	"IS01"
